상품명,수량,상품금액,날짜,시간,판매자,
mushrom,4,3200,2024-12-5,17:27,kuromi,
courage,4,3000,2020-12-5,22:25,mymelo,
mushrom,6,3200,2023-12-4,03:56,legend,
mushrom,8,3200,2024-1-16,00:43,anohana,
water,5,480,2024-1-12,21:42,legend,
courage,3,3000,2024-1-19,07:43,mymelo,
mushrom,1,3200,2025-1-12,17:18,legend,
water,8,480,2020-11-12,23:11,anohana,
courage,5,3000,2020-12-2,08:56,anohana,
mushrom,6,3200,2022-12-15,09:28,legend,
mushrom,1,3200,2025-12-12,13:53,legend,
mushrom,5,3200,2020-1-31,01:57,anohana,
history,9,5000,2020-12-19,02:42,anohana,
mushrom,5,3200,2020-1-7,18:06,mymelo,
history,10,5000,2020-1-8,10:18,kuromi,
history,7,5000,2020-1-8,04:18,anohana,
plant,1,300,2025-5-11,04:51,mymelo,
mushrom,2,3200,2025-12-2,08:53,anohana,
gollem's sweat,9,1500,2020-5-6,08:19,kuromi,
gollem,2,3000,2025-3-8,04:57,admin,
courage,3,3000,2024-1-18,08:43,admin,
mushrom,7,3200,2022-12-25,18:06,anohana,
jelly,5,400,2025-12-12,06:49,anohana,
gollem,5,3000,2025-1-20,11:34,legend,
mushrom,3,3200,2025-10-2,06:55,anohana,
mushrom,8,3200,2023-1-8,22:18,legend,
party table,9,1000,2024-7-2,22:51,admin,
gollem,9,3000,2024-11-30,23:53,admin,
plant,8,300,2025-12-7,20:05,kuromi,
plant,6,300,2025-1-12,12:17,legend,
party table,3,1000,2025-6-2,16:08,legend,
mushrom,3,3200,2025-11-24,01:59,kuromi,
mushrom,9,3200,2025-12-7,10:51,admin,
mushrom,8,3200,2024-1-12,15:24,legend,
mushrom,10,3200,2020-1-29,20:42,kuromi,
mushrom,8,3200,2022-12-8,17:44,legend,
gollem's sweat,4,1500,2025-12-29,22:13,legend,
water,4,480,2025-6-9,23:40,legend,
mushrom,5,3200,2022-12-2,20:56,legend,
plant,8,300,2025-12-2,19:47,legend,
mushrom,7,3200,2025-12-12,01:44,kuromi,
party table,10,1000,2021-7-28,00:08,anohana,
jelly,2,400,2025-5-29,05:48,mymelo,
sord,9,4000,2025-9-8,10:32,mymelo,
jelly,2,400,2020-5-12,01:35,mymelo,
courage,9,3000,2020-8-6,20:12,legend,
party table,2,1000,2022-9-2,04:55,legend,
gollem's sweat,7,1500,2025-1-15,09:48,legend,
mushrom,8,3200,2022-12-18,10:34,anohana,
mushrom,4,3200,2024-11-24,01:48,anohana,
jelly,8,400,2021-12-26,18:20,anohana,
gollem's sweat,1,1500,2025-6-12,19:04,legend,
party table,3,1000,2025-10-6,06:37,legend,
mushrom,6,3200,2022-11-30,14:51,kuromi,
mushrom,1,3200,2022-11-20,12:14,legend,
mushrom,10,3200,2025-12-18,04:30,admin,
sord,9,4000,2024-1-6,22:45,legend,
gollem,5,3000,2025-1-24,07:26,legend,
mushrom,7,3200,2025-12-29,19:42,kuromi,
mushrom,8,3200,2022-1-2,07:54,legend,
history,6,5000,2025-1-2,18:36,legend,
mushrom,8,3200,2020-1-8,03:05,legend,
water,5,480,2025-12-14,01:24,legend,
mushrom,10,3200,2023-12-6,13:38,kuromi,
mushrom,6,3200,2021-12-5,12:58,anohana,
mushrom,3,3200,2020-12-25,07:46,kuromi,
plant,3,300,2024-1-12,01:24,legend,
mushrom,3,3200,2022-2-3,07:05,kuromi,
sord,8,4000,2025-12-1,12:21,legend,
mushrom,9,3200,2022-12-14,01:38,anohana,
dinner,4,500,2025-1-12,05:02,admin,
gollem's sweat,4,1500,2020-1-23,14:51,legend,
courage,4,3000,2025-2-11,08:12,legend,
gollem,4,3000,2020-12-27,10:11,kuromi,
gollem's sweat,6,1500,2025-6-25,16:41,anohana,
mushrom,3,3200,2025-12-13,10:07,legend,
jelly,2,400,2020-12-31,11:42,legend,
mushrom,1,3200,2024-12-13,06:58,anohana,
mushrom,6,3200,2024-12-2,11:13,mymelo,
jelly,5,400,2024-1-1,04:47,legend,
mushrom,1,3200,2023-12-17,07:55,kuromi,
mushrom,7,3200,2024-11-12,03:04,legend,
sord,8,4000,2025-12-12,05:17,legend,
history,6,5000,2020-11-12,03:49,legend,
mushrom,8,3200,2022-11-2,16:37,legend,
party table,1,1000,2024-7-27,21:03,legend,
mushrom,7,3200,2024-11-7,19:09,legend,
mushrom,1,3200,2024-12-2,08:40,anohana,
jelly,8,400,2024-1-31,05:40,admin,
water,5,480,2022-6-21,20:47,kuromi,
mushrom,3,3200,2025-1-13,20:32,kuromi,
gollem's sweat,4,1500,2024-12-22,22:48,anohana,
party table,6,1000,2020-5-12,04:22,legend,
jelly,5,400,2020-7-13,15:42,kuromi,
party table,7,1000,2024-7-3,18:43,anohana,
dinner,6,500,2020-1-4,19:19,legend,
courage,8,3000,2024-1-1,19:49,legend,
history,10,5000,2020-1-12,10:13,kuromi,
party table,4,1000,2024-5-13,14:55,legend,
gollem's sweat,10,1500,2024-12-1,21:02,kuromi,
mushrom,8,3200,2024-12-12,02:23,legend,
mushrom,9,3200,2025-1-10,14:36,anohana,
mushrom,7,3200,2024-1-4,14:42,admin,
mushrom,1,3200,2025-12-2,15:57,admin,
sord,9,4000,2020-1-12,23:12,mymelo,
gollem's sweat,8,1500,2024-12-2,21:35,mymelo,
mushrom,5,3200,2025-3-12,17:49,legend,
dinner,1,500,2025-12-15,20:13,anohana,
jelly,1,400,2020-7-22,15:54,legend,
dinner,9,500,2020-1-25,10:37,legend,
mushrom,6,3200,2020-1-23,22:30,mymelo,
mushrom,7,3200,2024-1-14,16:36,anohana,
gollem's sweat,2,1500,2024-1-26,02:16,anohana,
party table,5,1000,2024-6-12,05:55,mymelo,
dinner,1,500,2025-1-2,07:39,legend,
mushrom,6,3200,2022-11-12,02:22,anohana,
jelly,2,400,2020-12-10,23:53,admin,
courage,1,3000,2025-6-2,19:04,legend,
jelly,10,400,2025-9-2,01:35,anohana,
party table,1,1000,2025-3-24,06:23,anohana,
mushrom,4,3200,2025-1-19,15:08,anohana,
mushrom,4,3200,2021-12-26,04:12,kuromi,
mushrom,2,3200,2020-1-18,13:13,anohana,
party table,4,1000,2024-6-20,17:17,legend,
plant,10,300,2020-1-11,16:40,kuromi,
history,9,5000,2022-11-1,10:55,legend,
mushrom,10,3200,2025-1-12,11:23,anohana,
water,7,480,2024-12-5,02:33,legend,
mushrom,10,3200,2025-10-2,11:23,legend,
mushrom,5,3200,2020-1-12,12:15,anohana,
plant,9,300,2025-1-28,00:43,kuromi,
history,5,5000,2025-3-14,14:56,legend,
mushrom,9,3200,2025-8-19,04:14,anohana,
water,3,480,2025-1-2,04:50,mymelo,
plant,3,300,2020-4-21,18:08,legend,
mushrom,2,3200,2024-12-8,13:39,anohana,
water,7,480,2022-11-29,08:57,mymelo,
gollem,5,3000,2020-5-2,22:29,legend,
mushrom,3,3200,2020-1-24,20:41,anohana,
history,7,5000,2020-1-13,21:23,legend,
mushrom,5,3200,2025-2-28,11:37,legend,
history,2,5000,2020-12-25,22:20,legend,
mushrom,3,3200,2024-12-31,23:05,anohana,
dinner,5,500,2024-1-8,10:55,legend,
dinner,2,500,2025-12-2,03:56,mymelo,
gollem,3,3000,2020-2-19,17:45,anohana,
dinner,1,500,2025-1-10,00:15,anohana,
mushrom,3,3200,2025-2-7,07:01,admin,
mushrom,6,3200,2022-1-12,03:58,legend,
sord,3,4000,2024-1-12,21:32,legend,
plant,10,300,2020-5-5,09:26,legend,
party table,8,1000,2025-7-26,09:43,legend,
plant,6,300,2025-12-23,08:09,admin,
gollem,8,3000,2025-7-3,16:19,anohana,
party table,8,1000,2023-3-3,10:59,anohana,
gollem,1,3000,2025-1-1,04:52,kuromi,
gollem,1,3000,2025-10-5,05:47,legend,
sord,8,4000,2020-8-19,02:54,mymelo,
mushrom,4,3200,2021-9-24,06:45,mymelo,
sord,8,4000,2021-12-1,08:26,legend,
mushrom,3,3200,2025-2-10,16:30,legend,
party table,1,1000,2022-5-12,21:50,legend,
courage,8,3000,2020-12-2,15:19,admin,
courage,10,3000,2025-1-12,02:34,anohana,
sord,1,4000,2022-1-2,10:20,legend,
jelly,4,400,2025-1-27,14:11,legend,
mushrom,8,3200,2025-1-26,03:49,legend,
jelly,3,400,2022-6-6,07:38,legend,
dinner,6,500,2020-7-8,06:44,kuromi,
mushrom,9,3200,2020-1-12,10:21,mymelo,
jelly,3,400,2022-12-22,05:00,admin,
mushrom,10,3200,2025-11-20,23:23,mymelo,
gollem,5,3000,2024-11-26,13:41,kuromi,
history,2,5000,2020-1-15,23:06,mymelo,
water,3,480,2020-3-23,18:02,legend,
gollem,3,3000,2021-5-12,19:51,legend,
courage,6,3000,2025-1-28,08:53,admin,
history,9,5000,2022-5-10,17:34,kuromi,
party table,10,1000,2024-4-7,07:11,legend,
plant,4,300,2022-12-2,20:18,anohana,
mushrom,6,3200,2022-12-18,07:22,legend,
courage,3,3000,2024-7-9,15:10,anohana,
water,6,480,2025-12-26,05:19,legend,
party table,3,1000,2025-7-21,22:31,anohana,
mushrom,9,3200,2020-1-13,15:23,anohana,
party table,8,1000,2020-6-17,06:19,legend,
party table,6,1000,2022-7-5,13:17,mymelo,
dinner,9,500,2025-1-28,15:39,kuromi,
party table,10,1000,2025-5-14,13:13,mymelo,
water,7,480,2023-12-12,14:15,legend,
mushrom,1,3200,2025-1-10,14:54,anohana,
mushrom,9,3200,2022-1-15,01:01,mymelo,
mushrom,3,3200,2025-1-29,06:31,legend,
gollem,9,3000,2022-12-22,17:39,kuromi,
courage,9,3000,2024-4-3,11:17,anohana,
water,9,480,2020-12-9,09:09,legend,
party table,6,1000,2023-5-2,07:45,legend,
courage,2,3000,2024-12-12,18:03,mymelo,
jelly,4,400,2025-10-22,12:50,anohana,
mushrom,10,3200,2024-8-1,23:09,mymelo,
dinner,1,500,2020-6-2,06:25,kuromi,
gollem's sweat,6,1500,2023-3-19,23:26,kuromi,
mushrom,8,3200,2024-12-12,03:24,anohana,
courage,6,3000,2025-12-12,15:51,legend,
mushrom,10,3200,2024-12-16,00:41,legend,
courage,4,3000,2020-11-27,17:10,mymelo,
jelly,7,400,2020-2-17,06:00,mymelo,
mushrom,2,3200,2024-9-2,05:44,anohana,
gollem's sweat,8,1500,2025-1-2,08:24,anohana,
mushrom,7,3200,2023-12-12,20:14,mymelo,
water,9,480,2024-7-12,20:42,anohana,
mushrom,2,3200,2025-1-10,17:27,kuromi,
party table,3,1000,2025-6-11,11:12,legend,
jelly,10,400,2025-6-14,18:04,kuromi,
party table,8,1000,2024-2-12,01:29,mymelo,
party table,5,1000,2021-5-18,09:50,kuromi,
mushrom,2,3200,2020-1-4,00:06,anohana,
mushrom,7,3200,2025-11-26,06:40,legend,
dinner,8,500,2025-12-11,00:15,admin,
plant,10,300,2022-5-30,08:55,mymelo,
dinner,5,500,2025-5-12,06:24,mymelo,
mushrom,1,3200,2025-1-14,20:34,mymelo,
plant,5,300,2020-11-2,13:28,anohana,
mushrom,10,3200,2022-1-15,00:29,admin,
mushrom,8,3200,2020-12-12,05:11,kuromi,
sord,1,4000,2020-1-18,01:23,legend,
mushrom,7,3200,2024-12-16,16:15,mymelo,
gollem,9,3000,2024-1-3,12:28,mymelo,
history,3,5000,2023-2-18,06:28,legend,
gollem,2,3000,2025-1-23,15:00,anohana,
jelly,10,400,2025-1-2,23:22,legend,
gollem's sweat,5,1500,2020-1-12,03:23,legend,
water,5,480,2024-1-12,15:37,anohana,
gollem's sweat,10,1500,2024-1-2,05:19,kuromi,
mushrom,2,3200,2021-9-29,03:42,legend,
dinner,2,500,2024-6-12,10:48,anohana,
mushrom,10,3200,2025-1-3,13:27,anohana,
water,3,480,2025-7-18,08:31,legend,
sord,3,4000,2020-10-12,22:55,mymelo,
mushrom,7,3200,2024-1-4,06:27,kuromi,
mushrom,9,3200,2024-1-2,08:53,anohana,
gollem,10,3000,2023-12-1,01:47,legend,
party table,5,1000,2021-6-7,23:49,legend,
mushrom,2,3200,2025-12-12,12:17,legend,
mushrom,3,3200,2023-1-1,19:08,mymelo,
mushrom,2,3200,2025-1-2,09:23,admin,
dinner,1,500,2021-1-18,21:30,mymelo,
gollem,2,3000,2024-1-10,06:56,anohana,
gollem's sweat,4,1500,2025-11-22,22:36,legend,
plant,5,300,2023-5-2,09:50,legend,
mushrom,5,3200,2025-12-12,22:06,legend,
party table,1,1000,2020-6-25,19:00,kuromi,
courage,1,3000,2024-1-2,06:26,legend,
mushrom,6,3200,2023-12-12,13:29,legend,
gollem's sweat,4,1500,2020-1-12,23:40,kuromi,
mushrom,9,3200,2025-1-24,03:27,mymelo,
mushrom,4,3200,2025-1-12,10:43,mymelo,
mushrom,1,3200,2025-1-6,21:28,legend,
gollem's sweat,4,1500,2023-7-12,06:39,anohana,
party table,5,1000,2020-5-17,10:09,legend,
mushrom,5,3200,2025-12-27,00:27,kuromi,
mushrom,2,3200,2024-1-14,21:25,mymelo,
mushrom,7,3200,2024-1-12,03:27,mymelo,
mushrom,5,3200,2020-1-2,06:00,admin,
history,6,5000,2025-7-23,12:28,legend,
plant,8,300,2025-12-2,03:43,kuromi,
water,1,480,2024-1-28,03:06,kuromi,
dinner,6,500,2024-12-2,19:08,mymelo,
history,4,5000,2024-6-30,05:44,kuromi,
courage,1,3000,2020-12-26,16:27,legend,
party table,2,1000,2020-7-23,19:35,legend,
mushrom,4,3200,2025-1-12,05:22,anohana,
gollem,9,3000,2020-1-12,19:07,legend,
mushrom,8,3200,2025-12-2,01:45,anohana,
gollem,5,3000,2020-12-12,15:20,anohana,
dinner,6,500,2025-1-12,06:51,kuromi,
mushrom,4,3200,2022-1-31,12:33,anohana,
mushrom,8,3200,2022-12-19,08:22,mymelo,
mushrom,10,3200,2020-11-30,08:33,legend,
gollem's sweat,8,1500,2022-1-2,23:09,legend,
party table,5,1000,2024-7-10,04:22,mymelo,
plant,5,300,2025-1-3,08:55,legend,
gollem's sweat,5,1500,2022-1-26,05:29,mymelo,
water,1,480,2025-12-30,23:30,mymelo,
history,6,5000,2020-1-12,07:28,legend,
mushrom,10,3200,2025-9-12,08:10,kuromi,
dinner,4,500,2023-12-8,20:20,mymelo,
plant,2,300,2025-1-12,05:51,legend,
plant,7,300,2022-1-2,00:44,mymelo,
mushrom,4,3200,2025-1-12,03:42,legend,
water,1,480,2020-1-19,02:47,anohana,
mushrom,4,3200,2020-4-22,22:39,legend,
courage,10,3000,2020-1-25,17:46,anohana,
sord,1,4000,2020-4-2,12:08,legend,
mushrom,10,3200,2025-12-1,20:23,mymelo,
mushrom,5,3200,2024-1-12,21:50,legend,
party table,1,1000,2025-6-13,03:15,legend,
party table,7,1000,2024-5-1,21:38,legend,
history,1,5000,2024-12-4,21:03,mymelo,
mushrom,5,3200,2020-12-21,09:54,kuromi,
party table,3,1000,2022-6-12,17:00,legend,
party table,2,1000,2025-5-29,07:53,anohana,
mushrom,3,3200,2020-1-12,21:08,mymelo,
mushrom,8,3200,2020-1-6,13:49,legend,
mushrom,3,3200,2021-1-2,05:51,anohana,
courage,9,3000,2025-12-28,13:54,legend,
mushrom,8,3200,2020-3-1,21:11,mymelo,
mushrom,3,3200,2024-12-18,11:31,legend,
mushrom,8,3200,2024-12-6,13:11,legend,
mushrom,10,3200,2020-11-5,01:35,anohana,
mushrom,2,3200,2024-12-31,02:53,legend,
sord,5,4000,2025-1-2,15:59,anohana,
courage,10,3000,2024-1-28,18:07,mymelo,
dinner,8,500,2024-12-12,12:47,anohana,
history,4,5000,2023-8-21,07:25,legend,
dinner,9,500,2023-8-29,16:12,legend,
gollem,9,3000,2022-12-12,10:03,legend,
mushrom,2,3200,2020-1-12,16:09,legend,
gollem,3,3000,2025-1-21,20:48,mymelo,
dinner,6,500,2024-12-10,04:42,legend,
courage,1,3000,2023-1-2,07:35,anohana,
mushrom,9,3200,2022-9-20,17:09,kuromi,
water,5,480,2024-5-31,23:35,kuromi,
party table,5,1000,2025-6-7,22:20,kuromi,
sord,2,4000,2025-5-12,11:29,legend,
gollem,2,3000,2025-12-6,21:28,legend,
mushrom,9,3200,2020-1-29,13:17,legend,
history,1,5000,2022-1-7,13:49,mymelo,
mushrom,4,3200,2024-3-9,22:53,anohana,
jelly,8,400,2025-12-20,02:50,anohana,
mushrom,7,3200,2025-1-16,13:24,legend,
dinner,3,500,2024-1-16,07:04,mymelo,
mushrom,4,3200,2022-3-13,18:13,legend,
mushrom,4,3200,2020-12-31,21:02,kuromi,
dinner,9,500,2025-12-10,12:02,legend,
gollem's sweat,9,1500,2020-5-8,06:03,legend,
plant,1,300,2024-1-12,03:55,admin,
mushrom,9,3200,2024-4-11,12:47,legend,
mushrom,5,3200,2023-1-12,19:41,legend,
dinner,3,500,2023-12-26,20:25,anohana,
dinner,10,500,2024-8-26,04:23,legend,
history,2,5000,2020-9-2,12:10,mymelo,
mushrom,4,3200,2020-2-12,12:39,legend,
party table,7,1000,2025-6-30,05:13,kuromi,
dinner,9,500,2020-1-7,17:40,anohana,
party table,10,1000,2024-6-5,19:49,admin,
sord,1,4000,2022-7-23,07:48,kuromi,
history,5,5000,2024-12-13,14:58,legend,
mushrom,1,3200,2025-1-28,07:13,mymelo,
courage,5,3000,2020-12-12,02:38,legend,
dinner,3,500,2025-7-12,18:05,legend,
mushrom,8,3200,2024-12-25,20:37,anohana,
party table,1,1000,2023-6-6,01:39,legend,
history,9,5000,2020-1-18,20:46,anohana,
mushrom,1,3200,2020-1-12,17:40,legend,
gollem,3,3000,2025-1-14,14:07,legend,
sord,8,4000,2021-3-12,12:38,anohana,
gollem,2,3000,2023-9-24,07:50,legend,
jelly,7,400,2024-1-23,11:35,mymelo,
party table,10,1000,2025-5-12,08:03,admin,
courage,1,3000,2025-12-29,07:40,legend,
history,6,5000,2025-10-20,19:10,legend,
mushrom,3,3200,2025-1-19,22:32,legend,
mushrom,2,3200,2025-1-26,07:16,anohana,
mushrom,4,3200,2020-1-12,23:34,legend,
party table,2,1000,2022-6-16,22:26,anohana,
mushrom,1,3200,2023-1-7,03:48,anohana,
history,2,5000,2025-1-12,12:52,kuromi,
mushrom,4,3200,2023-11-19,19:15,admin,
water,9,480,2024-1-29,03:10,legend,
mushrom,7,3200,2020-3-13,03:07,legend,
gollem's sweat,5,1500,2020-1-19,15:45,legend,
mushrom,6,3200,2020-1-21,17:10,mymelo,
mushrom,2,3200,2024-1-12,19:34,mymelo,
mushrom,4,3200,2025-12-12,07:34,legend,
history,10,5000,2024-7-4,17:14,mymelo,
courage,3,3000,2025-10-7,01:15,legend,
sord,7,4000,2020-3-30,22:27,legend,
mushrom,6,3200,2025-1-12,06:19,legend,
party table,10,1000,2024-5-5,13:22,mymelo,
mushrom,8,3200,2024-11-17,14:12,legend,
party table,9,1000,2024-7-5,21:16,legend,
mushrom,7,3200,2024-12-12,23:02,anohana,
water,1,480,2025-1-29,13:01,legend,
courage,2,3000,2025-1-17,23:55,legend,
gollem's sweat,1,1500,2024-11-17,05:54,legend,
mushrom,4,3200,2025-1-30,10:29,anohana,
plant,6,300,2020-5-12,00:11,kuromi,
gollem's sweat,9,1500,2025-6-12,15:04,anohana,
mushrom,10,3200,2020-1-2,18:34,legend,
mushrom,1,3200,2024-12-12,10:59,legend,
party table,7,1000,2024-5-2,10:48,anohana,
party table,9,1000,2025-5-18,22:20,anohana,
water,9,480,2023-12-17,11:10,anohana,
mushrom,5,3200,2025-12-27,21:16,mymelo,
water,10,480,2020-5-30,03:21,kuromi,
mushrom,7,3200,2024-11-6,03:19,legend,
gollem's sweat,9,1500,2025-6-12,12:49,anohana,
courage,5,3000,2023-1-2,09:08,anohana,
history,2,5000,2025-1-11,12:23,legend,
party table,7,1000,2025-7-18,03:17,kuromi,
mushrom,5,3200,2022-1-27,04:34,legend,
mushrom,5,3200,2025-1-12,22:52,legend,
plant,5,300,2022-1-21,15:30,mymelo,
mushrom,5,3200,2025-11-12,20:51,legend,
mushrom,7,3200,2024-1-2,04:53,anohana,
mushrom,1,3200,2025-12-13,19:06,legend,
mushrom,3,3200,2025-12-10,11:49,anohana,
gollem's sweat,10,1500,2020-6-27,10:24,legend,
gollem's sweat,2,1500,2023-7-15,22:06,anohana,
party table,4,1000,2020-5-21,13:18,anohana,
party table,3,1000,2020-6-22,05:23,anohana,
water,1,480,2020-6-2,20:34,legend,
mushrom,1,3200,2020-11-2,22:02,mymelo,
gollem,6,3000,2024-1-2,19:13,legend,
mushrom,2,3200,2023-1-12,02:39,anohana,
mushrom,10,3200,2022-12-7,04:53,mymelo,
mushrom,3,3200,2025-1-14,19:51,mymelo,
courage,8,3000,2025-6-12,17:53,kuromi,
sord,8,4000,2025-3-18,16:51,kuromi,
dinner,3,500,2020-1-25,10:05,mymelo,
courage,9,3000,2024-6-2,23:43,kuromi,
party table,5,1000,2024-3-12,01:32,legend,
plant,3,300,2025-1-31,08:27,mymelo,
courage,1,3000,2025-11-15,08:36,anohana,
mushrom,4,3200,2022-11-6,14:40,legend,
party table,9,1000,2024-7-5,02:54,mymelo,
party table,6,1000,2025-6-22,05:22,legend,
mushrom,3,3200,2024-12-27,02:20,legend,
mushrom,7,3200,2025-1-2,23:40,mymelo,
mushrom,6,3200,2020-12-12,18:47,mymelo,
mushrom,4,3200,2025-1-12,14:08,legend,
mushrom,5,3200,2025-1-6,22:45,legend,
party table,1,1000,2023-6-22,17:02,mymelo,
courage,10,3000,2025-5-10,02:10,admin,
mushrom,9,3200,2024-12-12,19:37,anohana,
gollem,8,3000,2024-11-1,05:16,anohana,
mushrom,8,3200,2025-12-1,03:21,legend,
water,2,480,2024-12-12,09:46,legend,
history,6,5000,2025-12-13,07:20,legend,
jelly,10,400,2025-7-12,03:02,legend,
party table,8,1000,2023-4-10,14:17,legend,
mushrom,2,3200,2025-12-31,20:37,legend,
dinner,7,500,2021-12-8,23:02,anohana,
history,4,5000,2020-4-25,03:33,legend,
gollem's sweat,3,1500,2025-12-14,08:41,anohana,
gollem's sweat,8,1500,2023-1-2,09:29,anohana,
mushrom,5,3200,2020-1-30,18:20,anohana,
mushrom,2,3200,2021-1-12,05:06,legend,
mushrom,2,3200,2025-1-10,19:25,legend,
mushrom,3,3200,2020-11-27,14:48,legend,
jelly,1,400,2020-1-12,10:35,mymelo,
mushrom,8,3200,2025-12-13,00:48,legend,
mushrom,10,3200,2020-12-21,13:13,kuromi,
gollem,10,3000,2025-12-21,11:20,mymelo,
mushrom,10,3200,2025-1-1,07:54,anohana,
mushrom,9,3200,2020-12-31,14:33,legend,
mushrom,1,3200,2025-1-12,12:52,kuromi,
mushrom,6,3200,2024-12-10,13:01,legend,
gollem,2,3000,2022-6-22,04:28,kuromi,
party table,10,1000,2025-4-25,12:20,anohana,
courage,10,3000,2024-1-21,06:45,mymelo,
gollem's sweat,7,1500,2025-9-11,13:33,anohana,
mushrom,2,3200,2025-1-12,05:08,legend,
gollem's sweat,1,1500,2024-5-31,09:23,admin,
mushrom,5,3200,2024-11-12,14:19,legend,
gollem's sweat,1,1500,2021-1-12,19:35,mymelo,
mushrom,3,3200,2020-1-3,07:48,legend,
courage,9,3000,2024-1-12,20:17,kuromi,
mushrom,4,3200,2020-1-1,19:38,admin,
courage,2,3000,2024-12-9,13:58,anohana,
jelly,6,400,2025-8-31,08:55,admin,
dinner,10,500,2025-1-2,16:06,kuromi,
mushrom,10,3200,2022-1-17,00:03,mymelo,
sord,10,4000,2025-1-25,18:10,legend,
party table,10,1000,2025-7-12,23:32,admin,
mushrom,1,3200,2025-11-6,13:27,legend,
history,9,5000,2020-1-9,02:26,legend,
courage,6,3000,2025-9-26,13:17,legend,
mushrom,7,3200,2024-12-8,12:00,anohana,
mushrom,8,3200,2024-1-19,03:54,anohana,
party table,7,1000,2025-7-21,14:37,legend,
water,4,480,2025-12-22,03:26,legend,
sord,10,4000,2025-1-7,22:08,mymelo,
sord,3,4000,2022-1-18,03:49,legend,
gollem's sweat,1,1500,2022-11-12,19:00,legend,
dinner,3,500,2024-12-27,23:38,legend,
mushrom,10,3200,2024-12-17,16:49,legend,
gollem,10,3000,2024-5-12,16:58,legend,
party table,6,1000,2020-8-12,05:42,kuromi,
plant,6,300,2025-1-8,11:16,legend,
mushrom,8,3200,2025-3-1,02:22,anohana,
dinner,7,500,2020-5-12,20:21,mymelo,
mushrom,4,3200,2025-1-27,23:59,legend,
gollem's sweat,4,1500,2020-1-21,17:18,admin,
mushrom,10,3200,2025-1-14,03:28,legend,
mushrom,2,3200,2025-12-31,23:04,legend,
party table,6,1000,2025-6-12,17:47,legend,
courage,7,3000,2025-7-22,10:50,anohana,
courage,8,3000,2025-10-2,03:15,mymelo,
party table,6,1000,2020-5-19,09:25,legend,
party table,8,1000,2020-7-28,00:37,legend,
mushrom,8,3200,2025-12-12,18:11,legend,
water,7,480,2024-5-28,08:53,legend,
gollem's sweat,8,1500,2025-9-14,07:48,kuromi,
sord,4,4000,2020-8-12,04:00,anohana,
mushrom,3,3200,2020-11-12,17:52,admin,
mushrom,4,3200,2024-11-21,15:19,legend,
mushrom,1,3200,2024-1-24,18:56,legend,
sord,8,4000,2020-1-7,13:19,anohana,
water,5,480,2025-1-11,08:33,anohana,
