상품명,수량,상품금액,날짜,시간,판매자,
party table,8,1000,2025-7-20,19:55,kuromi,
mushrom,10,3200,2025-1-25,10:20,anohana,
mushrom,8,3200,2022-12-2,07:53,anohana,
mushrom,6,3200,2020-11-8,19:39,legend,
party table,1,1000,2020-5-12,17:44,legend,
mushrom,8,3200,2025-11-28,04:00,legend,
mushrom,7,3200,2024-1-12,00:57,legend,
party table,10,1000,2020-6-12,08:50,legend,
mushrom,10,3200,2022-12-20,05:36,mymelo,
mushrom,10,3200,2024-1-20,08:38,legend,
mushrom,3,3200,2025-1-17,21:56,legend,
history,1,5000,2020-11-2,20:27,legend,
mushrom,2,3200,2025-12-20,20:23,legend,
water,5,480,2023-12-23,01:38,mymelo,
history,9,5000,2025-6-17,12:35,mymelo,
gollem's sweat,7,1500,2024-7-26,19:18,legend,
dinner,2,500,2025-1-7,00:11,anohana,
mushrom,7,3200,2023-1-26,22:28,admin,
history,3,5000,2023-12-23,11:59,legend,
mushrom,4,3200,2025-10-2,19:18,anohana,
courage,1,3000,2025-1-17,05:02,legend,
sord,8,4000,2024-8-12,15:59,anohana,
dinner,5,500,2025-12-2,09:42,legend,
gollem,6,3000,2023-12-10,22:40,kuromi,
mushrom,3,3200,2024-9-4,02:14,legend,
sord,2,4000,2022-12-16,06:11,legend,
gollem's sweat,5,1500,2025-4-14,16:35,legend,
mushrom,8,3200,2025-8-7,13:53,legend,
mushrom,7,3200,2021-12-6,18:40,admin,
gollem's sweat,7,1500,2020-1-2,22:54,legend,
water,10,480,2025-6-18,12:20,anohana,
mushrom,5,3200,2025-12-19,13:00,legend,
mushrom,2,3200,2024-1-8,19:38,kuromi,
gollem,2,3000,2020-1-28,00:03,legend,
plant,3,300,2020-2-4,00:47,mymelo,
water,1,480,2025-3-11,03:09,kuromi,
mushrom,4,3200,2024-10-13,02:26,mymelo,
courage,2,3000,2020-5-24,13:25,legend,
mushrom,1,3200,2022-1-27,09:15,legend,
history,3,5000,2025-1-16,17:33,anohana,
gollem,7,3000,2025-1-1,00:55,anohana,
plant,1,300,2024-1-25,12:11,kuromi,
mushrom,1,3200,2020-1-7,21:58,legend,
gollem's sweat,1,1500,2025-12-1,01:07,legend,
plant,9,300,2020-1-2,00:01,legend,
mushrom,8,3200,2025-12-12,19:48,kuromi,
mushrom,4,3200,2025-1-12,19:56,kuromi,
sord,10,4000,2025-11-2,09:03,anohana,
mushrom,2,3200,2025-1-2,02:45,legend,
mushrom,10,3200,2020-1-1,09:37,kuromi,
gollem,4,3000,2025-12-17,02:04,anohana,
courage,5,3000,2023-12-2,08:49,legend,
mushrom,7,3200,2022-8-2,17:18,legend,
mushrom,8,3200,2025-1-12,07:04,kuromi,
party table,9,1000,2025-6-16,21:34,anohana,
history,10,5000,2024-1-19,01:59,legend,
mushrom,4,3200,2022-12-15,11:12,legend,
mushrom,5,3200,2024-12-3,10:15,legend,
sord,2,4000,2022-1-3,13:23,legend,
water,5,480,2024-12-15,09:31,legend,
jelly,4,400,2023-1-24,04:48,anohana,
mushrom,8,3200,2024-1-20,11:39,legend,
mushrom,3,3200,2020-1-4,20:01,mymelo,
gollem's sweat,8,1500,2024-7-5,18:21,legend,
sord,2,4000,2025-1-12,21:03,legend,
mushrom,1,3200,2025-2-9,12:24,admin,
mushrom,4,3200,2024-1-25,00:39,mymelo,
party table,10,1000,2024-6-4,07:19,anohana,
mushrom,7,3200,2025-11-20,01:04,legend,
dinner,8,500,2023-12-14,12:24,legend,
plant,4,300,2025-10-30,09:28,mymelo,
gollem's sweat,7,1500,2022-12-16,07:40,kuromi,
mushrom,5,3200,2020-12-16,11:53,admin,
plant,7,300,2025-12-23,20:35,legend,
mushrom,10,3200,2025-1-2,12:44,legend,
mushrom,6,3200,2024-1-2,15:33,legend,
water,8,480,2020-7-12,15:13,legend,
history,5,5000,2025-1-23,08:18,anohana,
mushrom,5,3200,2022-1-27,11:29,legend,
jelly,5,400,2022-1-2,04:22,mymelo,
water,6,480,2023-1-29,14:05,admin,
sord,5,4000,2025-5-2,03:31,legend,
party table,5,1000,2024-8-29,06:02,legend,
gollem,8,3000,2025-1-2,11:25,legend,
mushrom,10,3200,2025-1-19,06:43,mymelo,
sord,8,4000,2023-12-30,19:50,legend,
history,8,5000,2022-1-2,23:20,legend,
courage,8,3000,2024-1-2,10:04,mymelo,
water,6,480,2025-6-7,10:05,legend,
gollem,2,3000,2024-1-29,10:11,legend,
courage,2,3000,2024-12-26,15:54,anohana,
sord,4,4000,2020-3-15,20:38,kuromi,
mushrom,7,3200,2024-8-9,16:52,legend,
mushrom,10,3200,2020-12-17,02:39,anohana,
mushrom,2,3200,2025-1-20,21:13,anohana,
party table,9,1000,2020-7-12,09:26,legend,
party table,10,1000,2020-6-2,10:53,legend,
mushrom,3,3200,2024-1-12,22:15,mymelo,
party table,9,1000,2025-6-19,08:35,mymelo,
sord,8,4000,2024-1-16,12:15,legend,
mushrom,9,3200,2022-1-24,14:41,anohana,
mushrom,9,3200,2025-12-11,20:16,mymelo,
mushrom,9,3200,2022-1-21,17:55,kuromi,
mushrom,2,3200,2020-1-23,20:29,legend,
mushrom,9,3200,2025-1-27,10:13,legend,
mushrom,2,3200,2024-11-2,06:22,legend,
mushrom,7,3200,2024-12-17,14:36,anohana,
courage,8,3000,2020-1-12,00:25,kuromi,
sord,3,4000,2020-2-16,02:23,anohana,
dinner,8,500,2025-9-2,06:20,anohana,
sord,7,4000,2024-12-8,01:10,mymelo,
mushrom,6,3200,2024-12-29,14:25,mymelo,
dinner,8,500,2025-1-5,11:44,kuromi,
dinner,7,500,2025-1-21,01:48,admin,
mushrom,9,3200,2020-1-30,11:38,mymelo,
plant,3,300,2025-1-2,11:30,legend,
mushrom,5,3200,2025-2-10,06:02,mymelo,
mushrom,4,3200,2025-1-28,16:01,kuromi,
mushrom,7,3200,2020-1-17,02:04,legend,
sord,2,4000,2023-12-11,00:41,legend,
water,10,480,2024-12-3,14:23,legend,
jelly,10,400,2022-1-12,10:43,legend,
gollem's sweat,10,1500,2020-4-20,16:40,kuromi,
mushrom,10,3200,2025-1-12,13:45,anohana,
plant,2,300,2025-12-26,07:53,anohana,
mushrom,3,3200,2025-9-7,11:56,legend,
mushrom,8,3200,2025-11-12,06:06,kuromi,
water,9,480,2020-12-12,23:10,anohana,
party table,6,1000,2020-7-21,15:23,legend,
mushrom,3,3200,2025-12-20,21:13,legend,
party table,5,1000,2021-5-12,20:24,legend,
gollem,4,3000,2025-1-6,10:42,legend,
courage,8,3000,2025-1-7,01:45,mymelo,
gollem's sweat,5,1500,2024-3-12,17:12,admin,
mushrom,7,3200,2022-11-19,16:43,legend,
plant,5,300,2025-1-16,19:51,legend,
water,5,480,2021-11-2,23:39,legend,
plant,8,300,2025-7-8,10:57,legend,
mushrom,6,3200,2020-11-12,18:57,legend,
mushrom,1,3200,2022-1-25,11:29,anohana,
party table,5,1000,2021-6-17,14:40,mymelo,
dinner,7,500,2023-1-12,10:23,legend,
water,5,480,2024-10-6,17:56,admin,
mushrom,8,3200,2025-1-13,07:20,mymelo,
history,9,5000,2024-1-10,23:24,legend,
gollem's sweat,10,1500,2025-1-10,19:50,anohana,
mushrom,1,3200,2020-3-12,14:25,anohana,
mushrom,10,3200,2024-12-2,09:49,anohana,
mushrom,7,3200,2022-1-12,05:01,mymelo,
party table,4,1000,2025-6-12,06:57,legend,
history,10,5000,2022-5-10,06:04,legend,
gollem's sweat,4,1500,2020-2-19,14:50,admin,
mushrom,8,3200,2025-1-12,16:35,legend,
mushrom,1,3200,2022-1-5,14:46,admin,
party table,5,1000,2025-6-11,06:16,legend,
mushrom,7,3200,2020-12-12,17:38,legend,
party table,1,1000,2024-5-15,06:15,legend,
mushrom,3,3200,2022-1-12,11:20,kuromi,
mushrom,9,3200,2025-12-22,21:16,legend,
mushrom,8,3200,2025-1-26,12:41,admin,
history,5,5000,2022-1-12,16:35,anohana,
party table,2,1000,2025-6-29,18:47,legend,
courage,5,3000,2024-6-7,19:17,anohana,
mushrom,2,3200,2024-1-2,17:17,mymelo,
gollem,6,3000,2024-1-19,11:42,legend,
gollem,6,3000,2022-1-15,04:06,admin,
gollem's sweat,9,1500,2025-1-7,07:40,legend,
mushrom,10,3200,2020-10-6,16:37,anohana,
gollem's sweat,8,1500,2023-1-20,19:38,anohana,
mushrom,2,3200,2024-4-12,15:34,anohana,
party table,3,1000,2025-5-13,08:55,legend,
gollem's sweat,2,1500,2025-7-12,11:31,kuromi,
party table,6,1000,2020-2-12,08:38,anohana,
mushrom,1,3200,2022-1-28,09:53,mymelo,
dinner,10,500,2024-1-2,05:03,anohana,
mushrom,3,3200,2024-12-2,15:30,legend,
mushrom,6,3200,2025-12-12,23:51,legend,
courage,4,3000,2020-11-2,03:59,legend,
party table,9,1000,2020-7-8,23:17,kuromi,
gollem,5,3000,2023-1-2,06:17,anohana,
gollem's sweat,1,1500,2025-12-4,22:25,kuromi,
mushrom,2,3200,2020-3-31,01:25,legend,
jelly,6,400,2025-5-1,21:33,legend,
gollem,1,3000,2025-9-20,09:16,anohana,
sord,5,4000,2025-1-22,08:22,anohana,
mushrom,8,3200,2022-10-28,01:38,legend,
mushrom,4,3200,2025-12-17,19:28,legend,
water,5,480,2024-5-2,08:57,legend,
party table,9,1000,2025-4-26,10:14,mymelo,
courage,3,3000,2023-1-23,06:35,legend,
jelly,3,400,2020-12-9,09:55,legend,
mushrom,9,3200,2022-12-12,04:52,legend,
party table,7,1000,2022-7-15,20:45,mymelo,
mushrom,10,3200,2025-12-29,05:27,admin,
mushrom,2,3200,2020-12-18,14:10,legend,
dinner,10,500,2023-5-1,15:12,legend,
water,9,480,2025-1-12,04:21,legend,
mushrom,1,3200,2024-1-12,04:31,anohana,
jelly,10,400,2022-7-4,01:37,admin,
dinner,8,500,2025-12-29,22:24,legend,
mushrom,7,3200,2025-12-15,19:27,anohana,
dinner,5,500,2020-1-6,01:09,legend,
mushrom,6,3200,2024-1-10,11:51,legend,
mushrom,1,3200,2020-11-3,06:51,anohana,
mushrom,9,3200,2025-1-2,13:33,anohana,
courage,4,3000,2025-5-27,17:20,anohana,
gollem,10,3000,2025-12-12,21:06,mymelo,
mushrom,4,3200,2024-2-4,10:41,legend,
party table,6,1000,2022-5-30,13:36,legend,
party table,9,1000,2024-6-25,20:20,kuromi,
mushrom,3,3200,2025-12-6,18:27,legend,
courage,2,3000,2025-7-2,19:27,legend,
mushrom,5,3200,2024-1-20,04:13,kuromi,
courage,2,3000,2024-7-8,19:14,legend,
plant,8,300,2025-1-3,04:17,anohana,
mushrom,5,3200,2025-12-31,01:35,mymelo,
plant,1,300,2020-11-12,22:33,mymelo,
jelly,6,400,2025-1-15,16:06,legend,
gollem,3,3000,2020-3-24,11:02,legend,
jelly,7,400,2020-1-29,22:38,mymelo,
party table,8,1000,2025-7-12,19:53,mymelo,
mushrom,9,3200,2025-1-2,04:03,anohana,
party table,1,1000,2023-6-2,21:50,legend,
gollem,10,3000,2025-1-31,13:21,legend,
history,4,5000,2023-6-19,07:39,admin,
mushrom,4,3200,2020-12-11,22:34,anohana,
mushrom,4,3200,2022-1-15,19:19,admin,
mushrom,7,3200,2023-12-7,01:39,kuromi,
jelly,10,400,2024-1-24,17:45,legend,
mushrom,10,3200,2022-1-22,17:00,kuromi,
party table,6,1000,2020-5-30,14:44,kuromi,
plant,10,300,2022-1-28,10:40,mymelo,
mushrom,7,3200,2025-12-16,16:41,legend,
history,5,5000,2025-7-12,19:21,mymelo,
dinner,1,500,2025-2-4,00:04,legend,
mushrom,5,3200,2020-12-12,11:46,anohana,
dinner,10,500,2020-12-10,11:08,legend,
mushrom,5,3200,2025-10-13,10:08,kuromi,
mushrom,9,3200,2022-1-13,04:30,legend,
plant,6,300,2020-6-9,06:05,mymelo,
mushrom,8,3200,2025-12-2,08:56,anohana,
gollem's sweat,9,1500,2024-1-3,00:43,legend,
party table,10,1000,2024-7-17,07:39,legend,
gollem,5,3000,2024-12-23,00:04,mymelo,
history,3,5000,2025-12-12,08:56,mymelo,
mushrom,3,3200,2020-9-26,22:03,anohana,
mushrom,6,3200,2025-12-7,23:36,legend,
courage,5,3000,2025-11-8,02:21,mymelo,
mushrom,4,3200,2022-1-17,23:50,legend,
mushrom,1,3200,2020-11-12,07:33,legend,
dinner,5,500,2025-5-12,07:41,anohana,
party table,10,1000,2021-2-2,00:45,mymelo,
mushrom,7,3200,2025-11-21,15:15,anohana,
gollem's sweat,10,1500,2025-12-2,20:59,legend,
dinner,7,500,2024-1-22,17:57,anohana,
mushrom,8,3200,2022-1-12,20:38,kuromi,
water,4,480,2020-11-12,02:07,admin,
history,9,5000,2020-8-31,13:25,legend,
mushrom,9,3200,2025-10-12,13:25,admin,
jelly,6,400,2022-5-16,14:07,anohana,
mushrom,5,3200,2024-1-7,01:44,legend,
mushrom,1,3200,2025-12-9,03:35,anohana,
mushrom,5,3200,2025-1-2,13:34,anohana,
party table,5,1000,2025-5-7,01:46,legend,
plant,10,300,2020-5-2,01:31,mymelo,
gollem's sweat,6,1500,2022-1-5,21:23,mymelo,
courage,10,3000,2025-12-17,02:36,admin,
plant,5,300,2020-11-1,07:57,mymelo,
mushrom,9,3200,2020-3-2,13:01,anohana,
mushrom,8,3200,2024-12-15,18:15,anohana,
party table,10,1000,2024-6-28,17:29,mymelo,
dinner,9,500,2020-1-19,19:42,mymelo,
plant,7,300,2025-5-18,08:35,anohana,
party table,1,1000,2025-6-12,14:18,anohana,
party table,3,1000,2025-6-12,14:38,legend,
plant,5,300,2024-12-19,21:14,kuromi,
mushrom,2,3200,2020-4-12,12:44,legend,
mushrom,7,3200,2022-1-9,20:12,anohana,
gollem's sweat,10,1500,2024-12-1,12:09,anohana,
mushrom,9,3200,2022-1-12,12:14,legend,
mushrom,4,3200,2025-1-23,19:21,mymelo,
courage,8,3000,2025-1-12,20:03,legend,
jelly,3,400,2022-10-24,03:47,legend,
gollem,9,3000,2025-6-7,19:27,mymelo,
party table,2,1000,2023-10-15,23:43,mymelo,
party table,5,1000,2022-7-30,10:46,mymelo,
mushrom,5,3200,2021-1-12,16:43,mymelo,
plant,9,300,2020-12-21,13:03,legend,
mushrom,2,3200,2022-3-19,23:32,mymelo,
plant,7,300,2025-5-5,05:47,anohana,
mushrom,5,3200,2025-1-12,16:12,anohana,
mushrom,4,3200,2025-12-29,11:04,kuromi,
mushrom,3,3200,2025-1-2,18:33,anohana,
jelly,3,400,2020-1-2,18:57,legend,
gollem,9,3000,2025-3-21,23:07,admin,
mushrom,5,3200,2021-12-7,06:50,legend,
party table,2,1000,2023-5-4,11:35,legend,
courage,8,3000,2025-12-11,23:42,legend,
jelly,1,400,2025-12-3,17:12,kuromi,
sord,8,4000,2022-1-12,16:48,admin,
mushrom,10,3200,2024-1-14,00:32,kuromi,
mushrom,5,3200,2020-1-17,22:15,mymelo,
history,9,5000,2022-5-2,15:10,anohana,
sord,6,4000,2025-9-2,01:36,mymelo,
mushrom,7,3200,2020-12-10,19:07,mymelo,
mushrom,8,3200,2025-12-26,03:49,anohana,
courage,7,3000,2025-12-12,03:38,legend,
mushrom,6,3200,2024-12-11,19:37,legend,
mushrom,2,3200,2024-1-11,07:50,legend,
history,2,5000,2022-12-29,21:30,anohana,
gollem,7,3000,2022-2-4,22:33,admin,
mushrom,2,3200,2020-1-12,09:40,legend,
party table,10,1000,2022-5-12,08:30,mymelo,
party table,4,1000,2020-5-12,10:45,anohana,
history,7,5000,2024-12-2,00:39,legend,
mushrom,6,3200,2025-1-2,08:53,anohana,
gollem,2,3000,2025-12-26,12:57,kuromi,
dinner,3,500,2024-1-8,19:20,anohana,
sord,5,4000,2025-12-2,02:50,legend,
dinner,8,500,2024-3-23,13:37,kuromi,
gollem,3,3000,2020-10-12,12:25,legend,
mushrom,10,3200,2020-8-12,01:01,legend,
courage,2,3000,2024-1-21,17:24,mymelo,
sord,8,4000,2024-12-27,13:27,admin,
party table,1,1000,2020-6-2,08:47,anohana,
gollem's sweat,7,1500,2025-5-14,19:36,legend,
history,3,5000,2025-3-6,13:46,mymelo,
mushrom,7,3200,2020-1-12,10:03,admin,
jelly,4,400,2025-12-22,11:52,admin,
gollem's sweat,9,1500,2025-12-1,18:15,legend,
courage,3,3000,2021-12-8,20:37,anohana,
mushrom,5,3200,2020-1-8,13:12,legend,
party table,5,1000,2024-5-12,21:38,legend,
plant,7,300,2020-7-16,21:13,anohana,
party table,1,1000,2025-7-31,01:57,anohana,
gollem,7,3000,2025-12-23,20:51,legend,
sord,5,4000,2025-1-2,23:54,anohana,
gollem's sweat,2,1500,2025-1-11,14:32,kuromi,
dinner,9,500,2025-1-2,09:10,legend,
plant,6,300,2025-12-2,09:50,anohana,
plant,2,300,2023-1-2,18:14,kuromi,
mushrom,7,3200,2022-1-1,10:58,mymelo,
water,3,480,2025-1-3,10:30,kuromi,
mushrom,10,3200,2024-12-21,19:28,mymelo,
dinner,2,500,2024-1-12,13:10,anohana,
plant,5,300,2023-9-29,20:42,anohana,
mushrom,2,3200,2020-1-5,14:03,admin,
mushrom,6,3200,2025-1-12,13:26,legend,
mushrom,10,3200,2024-12-12,20:59,legend,
mushrom,2,3200,2020-1-23,23:18,legend,
mushrom,8,3200,2024-12-10,15:59,legend,
mushrom,6,3200,2025-12-16,23:09,anohana,
mushrom,10,3200,2020-11-17,18:13,mymelo,
plant,4,300,2020-1-8,01:17,legend,
mushrom,5,3200,2025-12-21,21:35,anohana,
party table,2,1000,2020-5-2,07:42,admin,
history,5,5000,2023-6-19,17:57,legend,
mushrom,5,3200,2025-1-11,21:32,anohana,
party table,5,1000,2020-7-9,13:04,anohana,
gollem,2,3000,2024-1-30,17:11,admin,
courage,7,3000,2025-12-13,20:29,legend,
gollem,4,3000,2020-1-14,03:28,mymelo,
mushrom,1,3200,2024-3-2,01:47,legend,
mushrom,7,3200,2024-12-12,02:48,kuromi,
dinner,7,500,2022-7-2,15:51,anohana,
mushrom,9,3200,2024-12-26,18:37,anohana,
gollem,6,3000,2025-12-12,17:20,legend,
mushrom,9,3200,2021-1-4,12:24,legend,
water,8,480,2023-1-14,11:40,legend,
mushrom,3,3200,2024-11-7,00:27,mymelo,
history,3,5000,2025-1-17,00:06,legend,
mushrom,2,3200,2025-11-15,08:04,anohana,
mushrom,8,3200,2020-12-29,08:44,kuromi,
party table,9,1000,2024-5-16,22:50,legend,
mushrom,6,3200,2023-1-12,16:31,admin,
mushrom,6,3200,2025-1-24,18:55,legend,
gollem's sweat,7,1500,2025-5-16,06:56,kuromi,
party table,3,1000,2024-6-18,03:05,legend,
mushrom,10,3200,2024-1-2,21:42,legend,
party table,1,1000,2020-7-12,12:28,legend,
mushrom,8,3200,2025-12-18,00:48,legend,
history,10,5000,2024-1-19,08:15,legend,
water,2,480,2020-10-30,13:39,anohana,
water,10,480,2023-10-2,18:16,admin,
water,6,480,2020-1-13,17:22,mymelo,
water,4,480,2024-12-3,17:43,anohana,
plant,10,300,2020-1-22,18:15,legend,
mushrom,8,3200,2025-1-19,07:57,admin,
party table,9,1000,2020-7-2,05:18,admin,
mushrom,7,3200,2023-1-3,02:15,mymelo,
party table,5,1000,2024-6-24,03:35,legend,
courage,10,3000,2025-12-15,20:24,admin,
mushrom,10,3200,2025-1-3,06:14,mymelo,
mushrom,4,3200,2020-1-12,04:51,anohana,
mushrom,10,3200,2022-12-31,08:00,mymelo,
mushrom,10,3200,2020-11-14,03:51,anohana,
dinner,8,500,2022-1-2,03:04,admin,
water,1,480,2024-12-8,00:30,kuromi,
mushrom,3,3200,2025-1-12,17:58,anohana,
sord,2,4000,2025-5-2,03:21,anohana,
party table,6,1000,2025-4-21,15:05,kuromi,
mushrom,10,3200,2025-1-22,13:34,legend,
mushrom,6,3200,2024-1-12,16:44,mymelo,
sord,7,4000,2020-1-11,05:44,mymelo,
history,2,5000,2023-4-12,17:58,legend,
mushrom,8,3200,2022-10-12,20:25,anohana,
mushrom,6,3200,2025-11-29,14:14,legend,
party table,4,1000,2024-6-20,01:18,kuromi,
mushrom,4,3200,2023-12-17,11:07,mymelo,
jelly,7,400,2022-5-9,20:38,mymelo,
history,1,5000,2022-1-4,08:39,legend,
mushrom,3,3200,2022-4-8,19:41,legend,
mushrom,2,3200,2025-12-16,06:33,mymelo,
courage,10,3000,2025-1-28,13:37,legend,
gollem,1,3000,2023-5-11,00:59,admin,
party table,3,1000,2023-7-12,18:06,mymelo,
mushrom,10,3200,2023-1-14,16:16,mymelo,
sord,9,4000,2025-12-26,13:38,legend,
plant,4,300,2025-11-12,16:27,legend,
sord,6,4000,2025-1-12,10:59,anohana,
gollem,5,3000,2022-1-31,14:57,legend,
jelly,7,400,2020-8-30,23:21,anohana,
mushrom,7,3200,2020-4-20,12:07,admin,
sord,3,4000,2025-11-2,12:07,mymelo,
mushrom,7,3200,2025-12-12,04:57,legend,
mushrom,6,3200,2025-1-28,08:44,mymelo,
dinner,3,500,2020-1-19,03:32,anohana,
